game,kind,rank,value,prob,p_first,p_second,p_third
Quiniela Real,single,1,43,0.01629,0.012037,0.023802,0.01303
Quiniela Real,single,2,64,0.015629,0.011684,0.014907,0.020296
Quiniela Real,single,3,33,0.015423,0.015928,0.01922,0.01112
Quiniela Real,single,4,97,0.01535,0.020859,0.013453,0.011738
Quiniela Real,single,5,65,0.01514,0.012308,0.023607,0.009505
Quiniela Real,single,6,57,0.013748,0.014577,0.011506,0.01516
Quiniela Real,single,7,93,0.013651,0.015132,0.00601,0.019811
Quiniela Real,single,8,19,0.013225,0.015264,0.009532,0.01488
Quiniela Real,single,9,86,0.013133,0.011646,0.014713,0.01304
Quiniela Real,single,10,41,0.013082,0.015329,0.011782,0.012136
Quiniela Real,pale,1,43-48,0.002907,,,
Quiniela Real,pale,2,59-65,0.002705,,,
Quiniela Real,pale,3,46-72,0.002167,,,
Quiniela Real,pale,4,32-93,0.002094,,,
Quiniela Real,pale,5,20-33,0.002068,,,
Quiniela Real,pale,6,57-85,0.002015,,,
Quiniela Real,pale,7,00-65,0.001972,,,
Quiniela Real,pale,8,43-86,0.001913,,,
Quiniela Real,pale,9,00-19,0.001866,,,
Quiniela Real,pale,10,82-97,0.00178,,,
Quiniela Loteka,single,1,99,0.018116,0.020303,0.021385,0.01266
Quiniela Loteka,single,2,90,0.017594,0.018451,0.02636,0.007971
Quiniela Loteka,single,3,86,0.016244,0.010542,0.014407,0.023784
Quiniela Loteka,single,4,3,0.016076,0.012788,0.018434,0.017006
Quiniela Loteka,single,5,97,0.015902,0.010496,0.011561,0.025651
Quiniela Loteka,single,6,41,0.014698,0.016626,0.012526,0.014943
Quiniela Loteka,single,7,34,0.014622,0.015055,0.0114,0.017411
Quiniela Loteka,single,8,68,0.014424,0.012019,0.017773,0.013479
Quiniela Loteka,single,9,8,0.014189,0.018597,0.008465,0.015504
Quiniela Loteka,single,10,58,0.014154,0.015025,0.00981,0.017627
Quiniela Loteka,pale,1,54-86,0.003324,,,
Quiniela Loteka,pale,2,90-94,0.002948,,,
Quiniela Loteka,pale,3,30-50,0.00277,,,
Quiniela Loteka,pale,4,34-97,0.002694,,,
Quiniela Loteka,pale,5,19-29,0.002423,,,
Quiniela Loteka,pale,6,04-97,0.002403,,,
Quiniela Loteka,pale,7,14-20,0.002359,,,
Quiniela Loteka,pale,8,70-99,0.002349,,,
Quiniela Loteka,pale,9,06-58,0.002339,,,
