matchup,event_url,market,selection,line,price,raw_text
,https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,POPULAR,,,+1100,+1100
,https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,Bonus Basketball,,,+1100,+1100
,https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,Bonus Basketball,,,+228,+228
,https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,Bonus Basketball,,,+196,+196
,https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,131 People Placed This Bet,,,+1100,+1100
,https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,Crowd Favorites,,,+228,+228
,https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,Up Up & Away,,,+196,+196
,https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,Over & Out,,,+1000,+1000
,https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,Covering It Down,,,+252,+252
,https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,Raising The Game,,,+278,+278
,https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,Warm Up the Bus 🚌,,,+110,+110
,https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,Game,,,+700,+700
,https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,Game,,,+100,+100
,https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,Spread,,,+700,+700
,https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,Spread,,,+100,+100
,https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,PHI 76ers,,,+700,+700
,https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,PHI 76ers,,,+100,+100
,https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,+6.5,,,+700,+700
,https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,+6.5,,,+100,+100
,https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,30+,,,+110,+110
,https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,30+,,,+475,+475
,https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,"4:07 PM · Mar 03, 2026","Tonight at 8:00 p.m. ET, the 33 Philadelphia 76ers host the 43-17 San Antonio Spurs. The Sixers have won four of their previous five matchup",8,-27,"Tonight at 8:00 p.m. ET, the 33-27 Philadelphia 76ers host the 43-17 San Antonio Spurs. The Sixers have won four of their previous five matchups against the Spurs. The Spurs are 11-1 in their last 12 games while the Sixe"
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,POPULAR,DET Pistons .5 Spread,5,-10,DET Pistons -10.5 Spread
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,POPULAR,,,+216,+216
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,Crowd Favorites,DET Pistons .5 Spread,5,-10,DET Pistons -10.5 Spread
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,Crowd Favorites,,,+216,+216
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,Crowd Favorites,,,+266,+266
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,Crowd Favorites,BKN Nets .5 Spread,5,+10,BKN Nets +10.5 Spread
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,Crowd Favorites,,,+270,+270
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,Raising The Game,DET Pistons .5 Spread,5,-10,DET Pistons -10.5 Spread
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,Raising The Game,,,+266,+266
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,Covering It Down,BKN Nets .5 Spread,5,+10,BKN Nets +10.5 Spread
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,Covering It Down,,,+270,+270
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,Up Up & Away,BKN Nets .5 Spread,5,+10,BKN Nets +10.5 Spread
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,Up Up & Away,,,+200,+200
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,Over & Out,,,+2100,+2100
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,Game,.5,5,+10,+10.5
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,Game,,,+3000,+3000
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,Game,.5,5,-10,-10.5
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,Spread,.5,5,+10,+10.5
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,Spread,,,+3000,+3000
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,Spread,.5,5,-10,-10.5
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,BKN Nets,.5,5,+10,+10.5
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,BKN Nets,,,+3000,+3000
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,BKN Nets,.5,5,-10,-10.5
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,+10.5,,,+3000,+3000
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,+10.5,.5,5,-10,-10.5
,https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,18+,,,+125,+125
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,POPULAR,,,+390,+390
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Fear the Deer 🦌,,,+390,+390
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Fear the Deer 🦌,,,+315,+315
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Fear the Deer 🦌,,,+500,+500
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Jazz Club 🎺,,,+315,+315
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Home Court Heroes,,,+500,+500
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Silence the Crowd 🤫,,,+800,+800
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Raining Threes,,,+240,+240
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Swish & Dish,,,+282,+282
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Doing it All,,,+415,+415
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Stat Sheet Stuffer,,,+250,+250
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Unselfish,,,+214,+214
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Buckets & Boards,,,+110,+110
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Swish & Swipe,,,+395,+395
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Helping Hands 🤝,,,+262,+262
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Pass & Crash,,,+750,+750
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Lead the Way,,,+500,+500
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Buckets on Buckets 🪣,,,+600,+600
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Home Away From Home,,,+1300,+1300
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Score & Board,,,+750,+750
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Combo Meal 🍟,,,+600,+600
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,What Can't He Do?,,,+110,+110
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Hamburger Helper 🍔,,,+430,+430
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Game,.5,5,+10,+10.5
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Game,,,+400,+400
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Game,.5,5,-10,-10.5
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Spread,.5,5,+10,+10.5
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Spread,,,+400,+400
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Spread,.5,5,-10,-10.5
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,UTA Jazz,.5,5,+10,+10.5
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,UTA Jazz,,,+400,+400
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,UTA Jazz,.5,5,-10,-10.5
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,+10.5,,,+400,+400
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,+10.5,.5,5,-10,-10.5
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Brice Sensabaugh,,,+100,+100
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,8+,,,+100,+100
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Ryan Rollins,,,+110,+110
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,8+,,,+110,+110
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Ace Bailey,,,+110,+110
,https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,6+,,,+110,+110
