business_name,area_hint,category,website,email,phone,lat,lon,score,source,status
(aged.),"Elmhurst, Queens, New York, USA",restaurant,https://www.agednyc.com,info@agednyc.com,+1 718-544-2433,40.7207152,-73.8456147,100,openstreetmap_overpass,new
1 Mi Taller Auto Repair,"Elmhurst, Queens, New York, USA",car_repair,https://www.mitallerauto.com/,1mitallercorp@gmail.com,+1-718-424-7289;+1-917-584-1709,40.7352846,-73.8943578,100,openstreetmap_overpass,new
44 Launder Center,"Elmhurst, Queens, New York, USA",laundry,https://www.44launder.center/,info@44laundercenter.online,+1 929-919-0985,40.7449638,-73.9199934,100,openstreetmap_overpass,new
5 Burro Cafe,"Elmhurst, Queens, New York, USA",restaurant,https://5burrocafe.com,greatfood@5burrocafe.com,+1-718-544-2984,40.7193565,-73.8423767,100,openstreetmap_overpass,new
A Local Locksmith,"Elmhurst, Queens, New York, USA",locksmith,https://alocallocksmithqueens.com/,Info@alocallocksmithqueens.com,+1 718-651-9071,40.7499581,-73.8984569,100,openstreetmap_overpass,new
ABC Super Stores,"Cypress Hills, Brooklyn, New York, USA",department_store,http://www.abcsuperstore.com/locations.html,info@abcsuperstore.com,+1-718-943-7495,40.6991243,-73.9109457,100,openstreetmap_overpass,new
ACE Institute of Technology,"Elmhurst, Queens, New York, USA",school,https://www.acecareer.edu,yadhiritarodriguez01@gmail.com,+1-347-806-3919,40.7458115,-73.89048,100,openstreetmap_overpass,new
AJ's Jewelry,"Cypress Hills, Brooklyn, New York, USA",jewelry,https://www.ajsjewelers.com/,info@ajsjewelers.com,+1-718-628-4499,40.700349,-73.9019877,100,openstreetmap_overpass,new
Ace Pizzeria and Restaurant,"Cypress Hills, Brooklyn, New York, USA",restaurant,https://acepizzany.com/,info@acepizzany.com,+1-718-418-0038,40.7006939,-73.8940349,100,openstreetmap_overpass,new
Addictive Boutique Winery,"Elmhurst, Queens, New York, USA",wine,https://abwinery.com/,info@abwinery.com,+1-718-899-8666,40.756361,-73.8808981,100,openstreetmap_overpass,new
Amaranto,"Cypress Hills, Brooklyn, New York, USA",restaurant,https://amarantobklyn.com/,amarantobklyn@gmail.com,+1-718-576-6001,40.703075,-73.9218056,100,openstreetmap_overpass,new
Aroma Indian,"Elmhurst, Queens, New York, USA",restaurant,http://www.aromaindiancuisineny.com,aromaindiannyc@gmail.com,+1-718-200-0010,40.7238626,-73.867919,100,openstreetmap_overpass,new
"Artistic Neon, Inc.","Cypress Hills, Brooklyn, New York, USA",neon_signs,http://artisticneon.com,robbielights@artisticneon.com,+1-718-821-1550,40.699299,-73.9046126,100,openstreetmap_overpass,new
Atlas Park Dental,"Elmhurst, Queens, New York, USA",dentist,https://www.atlasparkdental.com/,info@atlasparkdental.com,+1-718-894-2110,40.7082576,-73.8678041,100,openstreetmap_overpass,new
Bangla Travel,"Elmhurst, Queens, New York, USA",travel_agency,https://banglatravel.net/,banglatravel@gmail.com,+1 917-396-4140,40.7472717,-73.8921797,100,openstreetmap_overpass,new
Bar 43,"Elmhurst, Queens, New York, USA",bar,https://bar43.com,info@bar43.com,+1 718-361-3090,40.7449648,-73.9213586,100,openstreetmap_overpass,new
Barn Truck Rental,"Elmhurst, Queens, New York, USA",car_rental,https://www.barntruckrental.com,barntruckrental@gmail.com,+1-718-426-7039,40.7521826,-73.903796,100,openstreetmap_overpass,new
Barn Truck Rental,"Elmhurst, Queens, New York, USA",car_rental,https://www.barntruckrental.com,barntruckrental@gmail.com,+1-718-899-9216,40.7297706,-73.871869,100,openstreetmap_overpass,new
Beauty Buffet NYC,"Elmhurst, Queens, New York, USA",beauty,https://beautybuffetnyc.com/,beautybuffetnyc@gmail.com,+1 347-204-7948,40.7467467,-73.8962166,100,openstreetmap_overpass,new
